Review_ID,Customer_Review,Cleaned_Review,Predicted_Sentiment,Confidence_Score
298,"Nice appearance, however the product stopped working quickly.","Nice appearance, however the product stopped working quickly.",NEGATIVE,0.998
299,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
300,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
301,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
302,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
303,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
304,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
305,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
306,Great packaging but poor product quality.,Great packaging but poor product quality.,NEUTRAL,0.9905
307,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
308,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
309,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
310,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
311,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
312,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
313,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
314,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
315,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
316,"Amazing features, but the battery life is awful.","Amazing features, but the battery life is awful.",NEUTRAL,0.9848
317,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
318,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
319,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
320,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
321,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
322,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
323,"Nice appearance, however the product stopped working quickly.","Nice appearance, however the product stopped working quickly.",NEGATIVE,0.998
324,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
325,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
326,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
327,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
328,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
329,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
330,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
331,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
332,"Nice appearance, however the product stopped working quickly.","Nice appearance, however the product stopped working quickly.",NEGATIVE,0.998
333,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
334,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
335,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
336,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
337,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
338,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
339,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
340,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
341,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
342,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
343,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
344,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
345,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
346,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
347,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
348,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
349,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
350,"Amazing features, but the battery life is awful.","Amazing features, but the battery life is awful.",NEUTRAL,0.9848
351,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
352,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
353,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
354,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
355,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
356,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
357,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
358,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
359,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
360,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
361,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
362,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
363,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
364,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
365,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
366,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
367,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
368,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
369,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
370,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
371,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
372,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
373,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
374,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
375,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
376,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
377,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
378,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
379,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
380,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
381,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
382,Great packaging but poor product quality.,Great packaging but poor product quality.,NEUTRAL,0.9905
383,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
384,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
385,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
386,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
387,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
388,Great packaging but poor product quality.,Great packaging but poor product quality.,NEUTRAL,0.9905
389,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
390,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
391,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
392,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
393,"Excellent design, although the performance was disappointing.","Excellent design, although the performance was disappointing.",POSITIVE,0.9994
394,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
395,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
396,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
397,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
398,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
399,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
400,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
401,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
402,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
403,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
404,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
405,"Amazing features, but the battery life is awful.","Amazing features, but the battery life is awful.",NEUTRAL,0.9848
406,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
407,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
408,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
409,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
410,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
411,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
412,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
413,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
414,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
415,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
416,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
417,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
418,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
419,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
420,"Excellent design, although the performance was disappointing.","Excellent design, although the performance was disappointing.",POSITIVE,0.9994
421,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
422,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
423,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
424,"Excellent design, although the performance was disappointing.","Excellent design, although the performance was disappointing.",POSITIVE,0.9994
425,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
426,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
427,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
428,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
429,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
430,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
431,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
432,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
433,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
434,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
435,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
436,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
437,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
438,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
439,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
440,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
441,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
442,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
443,Great packaging but poor product quality.,Great packaging but poor product quality.,NEUTRAL,0.9905
444,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
445,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
446,"Excellent design, although the performance was disappointing.","Excellent design, although the performance was disappointing.",POSITIVE,0.9994
447,"Amazing features, but the battery life is awful.","Amazing features, but the battery life is awful.",NEUTRAL,0.9848
448,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
449,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
450,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
451,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
452,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
453,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
454,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
455,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
456,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
457,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
458,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
459,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
460,"Amazing features, but the battery life is awful.","Amazing features, but the battery life is awful.",NEUTRAL,0.9848
461,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
462,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
463,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
464,"Amazing features, but the battery life is awful.","Amazing features, but the battery life is awful.",NEUTRAL,0.9848
465,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
466,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
467,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
468,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
469,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
470,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
471,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
472,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
473,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
474,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
475,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
476,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
477,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
478,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
479,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
480,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
481,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
482,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
483,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
484,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
485,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
486,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
487,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
488,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
489,"Amazing features, but the battery life is awful.","Amazing features, but the battery life is awful.",NEUTRAL,0.9848
490,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
491,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
492,Great packaging but poor product quality.,Great packaging but poor product quality.,NEUTRAL,0.9905
493,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
494,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
495,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
496,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
497,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
498,"Nice appearance, however the product stopped working quickly.","Nice appearance, however the product stopped working quickly.",NEGATIVE,0.998
499,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
500,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
501,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
502,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
503,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
504,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
505,"Amazing features, but the battery life is awful.","Amazing features, but the battery life is awful.",NEUTRAL,0.9848
506,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
507,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
508,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
509,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
510,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
511,"Amazing features, but the battery life is awful.","Amazing features, but the battery life is awful.",NEUTRAL,0.9848
512,"Excellent design, although the performance was disappointing.","Excellent design, although the performance was disappointing.",POSITIVE,0.9994
513,Great packaging but poor product quality.,Great packaging but poor product quality.,NEUTRAL,0.9905
514,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
515,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
516,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
517,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
518,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
519,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
520,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
521,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
522,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
523,Great packaging but poor product quality.,Great packaging but poor product quality.,NEUTRAL,0.9905
524,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
525,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
526,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
527,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
528,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
529,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
530,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
531,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
532,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
533,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
534,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
535,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
536,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
537,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
538,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
539,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
540,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
541,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
542,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
543,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
544,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
545,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
546,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
547,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
548,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
549,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
550,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
551,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
552,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
553,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
554,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
555,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
556,"Nice appearance, however the product stopped working quickly.","Nice appearance, however the product stopped working quickly.",NEGATIVE,0.998
557,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
558,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
559,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
560,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
561,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
562,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
563,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
564,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
565,Great packaging but poor product quality.,Great packaging but poor product quality.,NEUTRAL,0.9905
566,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
567,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
568,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
569,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
570,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
571,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
572,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
573,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
574,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
575,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
576,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
577,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
578,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
579,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
580,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
581,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
582,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
583,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
584,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
585,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
586,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
587,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
588,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
589,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
590,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
591,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
592,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
593,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
594,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
